(0.005291133222314201+0j),(0.34515200714619393+0j),(0.2362372606404342+0j),(0.001109854390683905+0j),(0.1219257461969967+0j),(0.4304873529096967+0j),(0.6248320120103568+0j),(0.4841823302710557+0j)
(0.24126236786100583+0j),(0.3895765613033578+0j),(0.6046008742402328+0j),(0.36384703519497974+0j),(0.08557442001781285+0j),(0.0803976612244663+0j),(0.053496230395458796+0j),(0.5248305237185125+0j)
(0.04097566042629515+0j),(0.4655911710379485+0j),(0.26687304366087305+0j),(0.20986368701511093+0j),(0.452659722076021+0j),(0.3763400960569653+0j),(0.4710619392775716+0j),(0.3128095676568942+0j)
(0.005102153471806875+0j),(0.24053573617368168+0j),(0.5191864562496088+0j),(0.49901589405128277+0j),(0.39140108563758647+0j),(0.21973438620065777+0j),(0.4600060870278912+0j),(0.10228136860901946+0j)
(0.17490786074038245+0j),(0.4852246637486315+0j),(0.385713847286885+0j),(0.38459601133640087+0j),(0.5354221176218872+0j),(0.1273110039227912+0j),(0.03689479753582713+0j),(0.3647311889224534+0j)
(0.31047741853083927+0j),(0.10297300445902048+0j),(0.008224420000445461+0j),(0.48397627995003256+0j),(0.33780422653762054+0j),(0.22723378030114794+0j),(0.4438509995114646+0j),(0.5440120000078453+0j)
(0.019154505487710864+0j),(0.32503981829045264+0j),(0.4973990063457067+0j),(0.4690818213783554+0j),(0.09592016447226953+0j),(0.4655825317709833+0j),(0.35457736212362445+0j),(0.27357963595758605+0j)
(0.25385029302104306+0j),(0.32952953414454894+0j),(0.2595496114940513+0j),(0.24019122757825792+0j),(0.47836864337808577+0j),(0.5064085709146255+0j),(0.08121504692009766+0j),(0.4582907425618877+0j)
(0.4204554129896089+0j),(0.4818033849399826+0j),(0.10749012752179958+0j),(0.3231153177671187+0j),(0.4552443767227581+0j),(0.025248929185474066+0j),(0.26505274768491105+0j),(0.4438323983664182+0j)
(0.2633114486208616+0j),(0.4344827966594494+0j),(0.446950108074171+0j),(0.4565221621290473+0j),(0.43835000075835706+0j),(0.32790013295176096+0j),(0.017066826228874038+0j),(0.18372370532272814+0j)
(0.3361996493136819+0j),(0.157720480444188+0j),(0.4900353017534069+0j),(0.2084285604200889+0j),(0.1704458725603592+0j),(0.3247081604872241+0j),(0.664016520182415+0j),(0.05578404836013952+0j)
(0.17056655143002103+0j),(0.4002219858581036+0j),(0.16114018232294927+0j),(0.48438455551292425+0j),(0.4737579654824635+0j),(0.2005683435267589+0j),(0.40040914300633446+0j),(0.35374158011791773+0j)
