(0.4151110216218741+0j),(0.19492776623386548+0j),(0.36602881472936344+0j),(0.2544658543157915+0j),(0.14519631610229505+0j),(0.5301989775069711+0j),(0.005434869204196051+0j),(0.5373393505894478+0j)
(0.16048623679586396+0j),(0.431692440274224+0j),(0.4216434286899899+0j),(0.4783067798560194+0j),(0.1835571202031319+0j),(0.3605728001677423+0j),(0.366917331557145+0j),(0.28808151520084163+0j)
(0.4291010581425652+0j),(0.2738489389436455+0j),(0.31689290022651506+0j),(0.32755912472930565+0j),(0.3498992658247901+0j),(0.3434473045740062+0j),(0.4115195289803276+0j),(0.3513247502765804+0j)
(0.4291553148534077+0j),(0.5624399277164672+0j),(0.20144386119051283+0j),(0.42780223833217945+0j),(0.03485559501736873+0j),(0.4804775127567055+0j),(0.09934505054917858+0j),(0.18425435482641425+0j)
(0.3348891102431664+0j),(0.5422765091242638+0j),(0.5314593946755586+0j),(0.43280323818210764+0j),(0.22498436328738167+0j),(0.06393193429666913+0j),(0.12198363561890424+0j),(0.23330768743692382+0j)
(0.31254702820073854+0j),(0.4930904497057321+0j),(0.17363439851200818+0j),(0.11782060845790564+0j),(0.04811972524857364+0j),(0.5063265900403885+0j),(0.5624096831295662+0j),(0.20039657689202853+0j)
(0.3095302108680036+0j),(0.029492441156629978+0j),(0.26310861865590984+0j),(0.5296652064424306+0j),(0.14807022025227043+0j),(0.13329318961638817+0j),(0.41189003152686376+0j),(0.5866895309727636+0j)
(0.44611830739839703+0j),(0.03133930359946128+0j),(0.30175113928495034+0j),(0.471331168946061+0j),(0.4390866298547277+0j),(0.18401485003763665+0j),(0.33811004991049465+0j),(0.3818540867557014+0j)
(0.38088176697510473+0j),(0.5004336043074288+0j),(0.04350595418726199+0j),(0.5428978087738638+0j),(0.1824010422717707+0j),(0.3353866496109673+0j),(0.38471562817160976+0j),(0.1187603844975951+0j)
(0.19292164935579326+0j),(0.12019883746505727+0j),(0.43428041203222745+0j),(0.40376244767396485+0j),(0.34553572561101664+0j),(0.2843976700250974+0j),(0.48192614521377436+0j),(0.4051914416982333+0j)
(0.019209918457701446+0j),(0.08166773244268954+0j),(0.4879184202042795+0j),(0.4163921113049837+0j),(0.37491226740727895+0j),(0.17054391413005188+0j),(0.5517329200547995+0j),(0.3278123478568108+0j)
(0.6127240968456489+0j),(0.010539593778648314+0j),(0.05568314006357843+0j),(0.5447621469274203+0j),(0.45297557771536423+0j),(0.1665722930747745+0j),(0.28791282728469386+0j),(0.09361992498143985+0j)
(0.04354068224510141+0j),(0.4057715441494449+0j),(0.5249161089179224+0j),(0.40575864578249643+0j),(0.19550418970984373+0j),(0.5021186411858595+0j),(0.25199123558566283+0j),(0.19857507921943135+0j)
(0.3934017314992973+0j),(0.16968703182925277+0j),(0.299845144617642+0j),(0.037703779498781446+0j),(0.4811036363037225+0j),(0.487608183077676+0j),(0.14922646779832177+0j),(0.4833443031447927+0j)
(0.2048102188660528+0j),(0.07507914110083426+0j),(0.19071591012499733+0j),(0.39269887435597844+0j),(0.3799889473105496+0j),(0.3693137405171042+0j),(0.5584003664129333+0j),(0.41138269810643385+0j)
(0.45580083254432385+0j),(0.006140163069260077+0j),(0.17384237808807124+0j),(0.01970424204776187+0j),(0.5207308217603612+0j),(0.34583505657030367+0j),(0.5579305505142398+0j),(0.24402765333884244+0j)
(0.5153382918840351+0j),(0.08041483021008478+0j),(0.5002995857009945+0j),(0.31165865796760117+0j),(0.3661267370649664+0j),(0.3082773175584696+0j),(0.3401768959672134+0j),(0.1890108271946409+0j)
(0.43044835397629+0j),(0.28468071522997096+0j),(0.024347636778679172+0j),(0.23316371732498137+0j),(0.4800526186636242+0j),(0.09206102936039735+0j),(0.5194627301073044+0j),(0.41224470967922855+0j)
(0.5399514663593847+0j),(0.1878202014796452+0j),(0.49236481756630984+0j),(0.38226370458494685+0j),(0.20462308240837226+0j),(0.44878356851144074+0j),(0.1560769977803668+0j),(0.1303457172909159+0j)
(0.47379699218752597+0j),(0.3340321506470049+0j),(0.39860104912380445+0j),(0.41479092567245385+0j),(0.20798691551715381+0j),(0.10948704037549949+0j),(0.28494834235923944+0j),(0.4433543698843816+0j)
(0.2130745029228007+0j),(0.5115874488446868+0j),(0.28822503074871303+0j),(0.32613132127521427+0j),(0.163262185365985+0j),(0.1465587327387393+0j),(0.34975110210801125+0j),(0.5770462672816988+0j)
(0.4744274103941184+0j),(0.41777908459156055+0j),(0.4779379542639726+0j),(0.13952294045410304+0j),(0.3668412551682965+0j),(0.29113679435162726+0j),(0.0039601689055150345+0j),(0.3648823197265454+0j)
(0.5080054878631719+0j),(0.3682008522382816+0j),(0.5980056471458849+0j),(0.2807244466816725+0j),(0.2150490593391065+0j),(0.0025521849700433476+0j),(0.19270482291376467+0j),(0.2942003184631567+0j)
(0.2950082075761901+0j),(0.35955119205869773+0j),(0.13387232668042895+0j),(0.5608118386270757+0j),(0.07034310571463602+0j),(0.24314885097844482+0j),(0.4863759483107208+0j),(0.3881111956744727+0j)
(0.12048172327735786+0j),(0.5903810964290312+0j),(0.49038353444109206+0j),(0.40243245918281717+0j),(0.05844000807545886+0j),(0.30201422433420666+0j),(0.02537804210362194+0j),(0.37314145979164526+0j)
(0.2577070350229252+0j),(0.34386252493780706+0j),(0.31124490866648763+0j),(0.36787494483159766+0j),(0.5019700833480584+0j),(0.4979484041777557+0j),(0.2679817220329452+0j),(0.10676843491432556+0j)
(0.10850565755809677+0j),(0.4398340883489384+0j),(0.39464511529241725+0j),(0.3708884180696161+0j),(0.07017616694295462+0j),(0.29445325575839+0j),(0.42186704807957787+0j),(0.48152911732614645+0j)
(0.36494178775031394+0j),(0.25792390400676124+0j),(0.44755226851891505+0j),(0.08775260630765563+0j),(0.065213727129857+0j),(0.11815610191439925+0j),(0.704984441489694+0j),(0.2776192373683658+0j)
(0.24364617918526404+0j),(0.167206906138752+0j),(0.4597620136523565+0j),(0.3037601593061679+0j),(0.135201545411603+0j),(0.49500421858054927+0j),(0.517340201833895+0j),(0.2794235630736779+0j)
(0.30245845879143946+0j),(0.3316802082543471+0j),(0.5018365559405789+0j),(0.2583915722806369+0j),(0.27702483003383005+0j),(0.3719586830744855+0j),(0.3895060072038483+0j),(0.3362886240065762+0j)
(0.014654797310832218+0j),(0.5717469905422761+0j),(0.16138394482097668+0j),(0.5059498481763347+0j),(0.23821161363928584+0j),(0.1320582405167398+0j),(0.544168838804908+0j),(0.14337612185681808+0j)
(0.4119915410490025+0j),(0.034568156564638276+0j),(0.3530051524079297+0j),(0.44264282882202755+0j),(0.27896321203608676+0j),(0.2259351171019727+0j),(0.4384136824111707+0j),(0.43295380052262233+0j)
(0.2405454622009434+0j),(0.6266709408790472+0j),(0.295570406269511+0j),(0.14078698579887472+0j),(0.47923842719327314+0j),(0.00015545153185392543+0j),(0.3899413160636936+0j),(0.24599765812361232+0j)
(0.2073273835055051+0j),(0.5418393834205123+0j),(0.10223876901183401+0j),(0.5896039319673837+0j),(0.10209260057784836+0j),(0.4936126314552641+0j),(0.11631533364682313+0j),(0.19425316027410086+0j)
(0.4196594549868799+0j),(0.17600550418782598+0j),(0.16761858056838538+0j),(0.46372677212899155+0j),(0.3860937423605402+0j),(0.36424149890857793+0j),(0.2593044230976447+0j),(0.4480964911039061+0j)
(0.211446371764088+0j),(0.22358301539842426+0j),(0.19071327320727274+0j),(0.5602530215877527+0j),(0.16772663076909922+0j),(0.22748052292058935+0j),(0.5591898264989532+0j),(0.4030796363998117+0j)
(0.21077205571859625+0j),(0.07907602028825016+0j),(0.2288419787332805+0j),(0.3025499345053615+0j),(0.6271903637181458+0j),(0.3550095667652801+0j),(0.5069810797011253+0j),(0.1702575972844581+0j)
(0.13164996900516127+0j),(0.07233875833884741+0j),(0.5100161711004483+0j),(0.005958737191578715+0j),(0.5428423606973048+0j),(0.42390773416587074+0j),(0.492320702134229+0j),(0.02298083912846262+0j)
(0.12608303324668999+0j),(0.009998757173581311+0j),(0.3348994943151284+0j),(0.19732072487235894+0j),(0.36189203972148865+0j),(0.580753820825663+0j),(0.597581657691653+0j),(0.08697854562319692+0j)
(0.18924795477320805+0j),(0.11173799906943238+0j),(0.3969324353256214+0j),(0.1326114763907855+0j),(0.5602602468031714+0j),(0.4547927905499929+0j),(0.4166192586875078+0j),(0.286808361280692+0j)
(0.46111760863185897+0j),(0.13235909875193055+0j),(0.5399682813067349+0j),(0.4046174635828291+0j),(0.2231969145284629+0j),(0.4332400033733421+0j),(0.2772454136339693+0j),(0.013849215668444012+0j)
(0.5809647958321862+0j),(0.5922203656559333+0j),(0.12214348991968356+0j),(0.27892898955411505+0j),(0.055306663136978323+0j),(0.42237450095441004+0j),(0.13523008675264217+0j),(0.13888235581101774+0j)
(0.19942216498327076+0j),(0.14488060506292097+0j),(0.12449563471724437+0j),(0.38259753494480486+0j),(0.5294530271100165+0j),(0.5091649888608523+0j),(0.22287370187664726+0j),(0.43372594203559467+0j)
(0.46425933657320917+0j),(0.16916876368077868+0j),(0.052754181026708466+0j),(0.4059033164270575+0j),(0.514653527390381+0j),(0.08568359815078108+0j),(0.14021158521104493+0j),(0.5444588790920923+0j)
