(0.3034180619635907+0j),(0.5249494417472192+0j),(0.06778998431493943+0j),(0.03968810456356006+0j),(0.20663513651081525+0j),(0.37972798432418275+0j),(0.5515371143873985+0j),(0.36757356460951507+0j)
(0.4528889631107894+0j),(0.2558109090745747+0j),(0.4026672597179683+0j),(0.43666041086069357+0j),(0.465223272842275+0j),(0.06584904981994354+0j),(0.3597824421306696+0j),(0.1625636269504657+0j)
(0.06835001901275543+0j),(0.263512209653832+0j),(0.025169299649714698+0j),(0.04775136302082901+0j),(0.4980442156307136+0j),(0.6966108582089543+0j),(0.24875804516678543+0j),(0.35746413864341375+0j)
(0.46415419022729804+0j),(0.11570526632916651+0j),(0.21966846158208037+0j),(0.06652157238279062+0j),(0.5223525044540409+0j),(0.015015305955551414+0j),(0.11426965745282593+0j),(0.6575398645673791+0j)
(0.6728224538953674+0j),(0.47939020296094537+0j),(0.09470258322593487+0j),(0.16292766233411926+0j),(0.4275303412006779+0j),(0.193730364902671+0j),(0.22697368014016342+0j),(0.10074858811464575+0j)
(0.45056777213997584+0j),(0.14013825851260964+0j),(0.2174067583752878+0j),(0.5436690146603168+0j),(0.3370593980299732+0j),(0.5356923391585161+0j),(0.07439405860633264+0j),(0.16851842371541553+0j)
(0.2685230313139371+0j),(0.5200783064404121+0j),(0.3448689880086694+0j),(0.45987825443860236+0j),(0.2259231527995933+0j),(0.23802706680861+0j),(0.45095923639466184+0j),(0.12620982780414547+0j)
(0.1714161642604591+0j),(0.36445561819670463+0j),(0.41449194114769083+0j),(0.32150962279637596+0j),(0.466523688284716+0j),(0.3608511123210977+0j),(0.45212684587816016+0j),(0.10168594991520948+0j)
(0.5833092492863727+0j),(0.3751280267751081+0j),(0.44983314069949687+0j),(0.2082046196898426+0j),(0.424384565393273+0j),(0.233073070894981+0j),(0.19319110641818948+0j),(0.03977619606597121+0j)
(0.5142210375481339+0j),(0.14517085869220164+0j),(0.4679573705794011+0j),(0.4866053683955089+0j),(0.08597394092878702+0j),(0.31326818483854646+0j),(0.2717746128502972+0j),(0.28167951071702096+0j)
(0.7235035551699722+0j),(0.175112621572914+0j),(0.4533886368871149+0j),(0.39872137426590776+0j),(0.22139594773257928+0j),(0.046113297370764535+0j),(0.15402488695796004+0j),(0.08044822806127103+0j)
(0.35847845150087265+0j),(0.1846209904332873+0j),(0.5010074428816553+0j),(0.4896794438321352+0j),(0.052959805554541245+0j),(0.11813832284635904+0j),(0.5330604937046693+0j),(0.213773197310638+0j)
(0.4004876831161759+0j),(0.3578209555729834+0j),(0.4990111916368425+0j),(0.2099248860897067+0j),(0.42352637959254075+0j),(0.04910682889174379+0j),(0.3406086099501403+0j),(0.3474087681964027+0j)
(0.42727955360964753+0j),(0.0810743933208746+0j),(0.38561052233315596+0j),(0.17983809822007227+0j),(0.342445153097548+0j),(0.4283024482557651+0j),(0.292506666261481+0j),(0.4935079426311596+0j)
(0.15209929385963253+0j),(0.24718913488416122+0j),(0.5377113829740444+0j),(0.22090883935885205+0j),(0.5123101962311621+0j),(0.10269346344722691+0j),(0.01564056771355026+0j),(0.5518847504328106+0j)
(0.07725654673440296+0j),(0.4908104070260493+0j),(0.22052244931745474+0j),(0.4127755947627528+0j),(0.497977259715927+0j),(0.43470506548964266+0j),(0.2876137405894035+0j),(0.12021322358425521+0j)
(0.47951882593398215+0j),(0.10545834091187492+0j),(0.33077727478425745+0j),(0.49789318243744635+0j),(0.20549367236340657+0j),(0.12941087037500196+0j),(0.4806811155567764+0j),(0.33406563676933304+0j)
